,Rank,Agent,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
0,1,Jett,1.07, 17.2  /  16.1  /  3.5 ,49.3%,17.9%,235,0.2%,"685,032"
1,2,Chamber,1.09, 16.4  /  15  /  3.3 ,49.8%,14.1%,219,0.1%,"538,305"
2,3,Reyna,1.07, 17  /  15.9  /  3.7 ,50.0%,11.3%,233,0.2%,"431,256"
3,4,Sova,0.96, 14.1  /  14.7  /  6.4 ,50.2%,9.3%,197,0.1%,"355,113"
4,5,Sage,0.94, 14.1  /  15  /  6.8 ,50.1%,7.6%,195,0.1%,"290,955"
5,6,Brimstone,0.96, 14.5  /  15.1  /  8.9 ,51.4%,7.2%,204,0.1%,"275,298"
6,7,Viper,0.96, 14.3  /  14.8  /  5.3 ,49.8%,6.0%,197,0.1%,"229,092"
7,8,Omen,0.97, 14.8  /  15.3  /  6.3 ,48.7%,5.5%,202,0.1%,"209,967"
8,9,Raze,1, 16.2  /  16.1  /  4.9 ,50.8%,5.4%,232,0.1%,"205,530"
9,10,Skye,0.94, 14.5  /  15.4  /  5.6 ,50.1%,3.8%,197,0.1%,"146,064"
10,11,KAY/O,0.9, 14.1  /  15.7  /  8.2 ,47.0%,3.2%,200,0.1%,"123,828"
11,12,Killjoy,0.99, 14.6  /  14.8  /  3.7 ,49.6%,2.1%,201,0.1%,"81,651"
12,13,Breach,0.9, 13.9  /  15.4  /  4.4 ,47.7%,2.1%,189,0.1%,"78,336"
13,14,Cypher,0.97, 14.7  /  15.1  /  4.2 ,47.9%,1.5%,196,0.1%,"58,701"
14,15,Yoru,0.94, 15.3  /  16.2  /  3.5 ,42.7%,1.1%,209,0.1%,"43,503"
15,16,Neon,0.96, 16  /  16.7  /  3.8 ,47.0%,0.8%,223,0.2%,"31,263"
16,17,Astra,0.98, 14.7  /  15  /  5.9 ,47.8%,0.5%,198,0.1%,"19,533"
17,18,Phoenix,1.01, 15.8  /  15.6  /  3.9 ,50.2%,0.4%,219,0.2%,"15,555"
