,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.16, 18  /  15.5  /  4.4 ,50.5%,11.2%,249,0.1%,"25,435"
1,2,Jett,1.1, 17.5  /  15.8  /  3.7 ,49.5%,10.0%,243,0.1%,"22,854"
2,3,Raze,1.07, 16.9  /  15.8  /  4.9 ,51.5%,8.2%,245,0.1%,"18,727"
3,4,Omen,0.98, 14.9  /  15.2  /  6.6 ,48.1%,8.0%,206,0.1%,"18,251"
4,5,Sage,0.92, 13.7  /  14.8  /  7 ,50.8%,7.5%,191,0.1%,"17,097"
5,6,Killjoy,1.01, 14.4  /  14.2  /  3.7 ,50.6%,7.4%,200,0.2%,"16,831"
6,7,Breach,0.95, 14.6  /  15.3  /  6.9 ,49.4%,5.7%,203,0.1%,"13,000"
7,8,Skye,0.94, 14.1  /  15.1  /  7.7 ,48.3%,5.6%,198,0.1%,"12,648"
8,9,Fade,0.95, 14.4  /  15.1  /  6.2 ,49.1%,4.4%,200,0.1%,"9,931"
9,10,Chamber,1.1, 16.3  /  14.9  /  2.9 ,49.1%,4.2%,221,0.1%,"9,605"
10,11,Brimstone,0.98, 14.6  /  14.9  /  8 ,50.9%,4.2%,206,0.1%,"9,476"
11,12,Cypher,0.99, 14.5  /  14.6  /  4.6 ,48.5%,3.5%,197,0.2%,"7,968"
12,13,KAY/O,0.92, 14.3  /  15.5  /  9.1 ,45.2%,3.4%,205,0.1%,"7,839"
13,14,Phoenix,1.13, 17.4  /  15.4  /  4.7 ,50.5%,3.4%,242,0.1%,"7,675"
14,15,Harbor,0.94, 14.2  /  15  /  5.8 ,49.1%,2.8%,196,0.1%,"6,292"
15,16,Sova,0.98, 14.6  /  14.9  /  5.4 ,48.0%,2.5%,205,0.1%,"5,767"
16,17,Astra,1.05, 15.3  /  14.6  /  6.1 ,51.5%,2.3%,208,0.2%,"5,335"
17,18,Viper,0.99, 14.6  /  14.8  /  5.5 ,49.4%,2.3%,204,0.2%,"5,254"
18,19,Neon,0.99, 16.1  /  16.3  /  4.2 ,46.3%,2.1%,229,0.1%,"4,871"
19,20,Yoru,0.98, 15.3  /  15.6  /  4.2 ,43.2%,1.3%,213,0.1%,"2,989"
