,Rank,Agent,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
0,1,Sage,0.88, 12.6  /  14.3  /  6.6 ,51.0%,17.4%,186,0.1%,"2,573,103"
1,2,Reyna,1.1, 16.5  /  15  /  4.6 ,51.6%,12.7%,241,0.2%,"1,885,266"
2,3,Jett,1.07, 16  /  15  /  4 ,51.0%,10.6%,234,0.2%,"1,568,964"
3,4,Raze,0.99, 15  /  15.1  /  5 ,51.4%,9.5%,228,0.1%,"1,406,988"
4,5,Omen,0.94, 13.9  /  14.9  /  3.8 ,49.7%,7.8%,201,0.1%,"1,156,476"
5,6,Sova,0.91, 13.1  /  14.4  /  5.6 ,50.0%,7.5%,196,0.1%,"1,110,321"
6,7,Killjoy,0.92, 13  /  14.1  /  4.2 ,52.1%,7.3%,194,0.1%,"1,076,202"
7,8,Phoenix,0.99, 14.6  /  14.8  /  4.3 ,49.4%,5.4%,218,0.2%,"806,208"
8,9,Viper,0.91, 13.1  /  14.4  /  4.9 ,50.4%,5.0%,193,0.1%,"739,500"
9,10,Brimstone,0.9, 13.2  /  14.7  /  5 ,50.0%,4.5%,196,0.1%,"667,131"
10,11,Cypher,0.92, 13.1  /  14.2  /  4.9 ,50.2%,3.4%,191,0.1%,"499,698"
11,12,Skye,0.87, 12.7  /  14.7  /  4.7 ,49.4%,3.1%,187,0.1%,"463,488"
12,13,Yoru,0.91, 13.7  /  15.1  /  3.9 ,46.1%,3.0%,202,0.1%,"451,095"
13,14,Breach,0.87, 13.3  /  15.3  /  5.2 ,48.0%,2.0%,196,0.1%,"298,911"
14,15,Astra,0.94, 13.4  /  14.3  /  4.1 ,50.5%,0.9%,194,0.1%,"126,786"
