,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.84, 12.1  /  14.4  /  6.9 ,50.1%,13.4%,177,0.1%,"715,628"
1,2,Reyna,1.07, 16.1  /  15  /  4.6 ,49.7%,11.0%,232,0.1%,"589,011"
2,3,Omen,0.93, 13.9  /  14.8  /  5.4 ,48.8%,7.8%,199,0.1%,"415,807"
3,4,Raze,0.97, 14.7  /  15.2  /  5.1 ,49.7%,7.7%,222,0.1%,"409,923"
4,5,Jett,0.99, 15.2  /  15.3  /  4 ,48.7%,6.2%,220,0.1%,"330,544"
5,6,Killjoy,0.93, 13  /  14  /  4.1 ,50.6%,5.5%,191,0.1%,"291,641"
6,7,Gekko,0.85, 12.6  /  14.8  /  4.6 ,49.0%,5.1%,181,0.1%,"273,507"
7,8,Skye,0.86, 12.5  /  14.6  /  7.6 ,49.2%,4.8%,184,0.1%,"255,183"
8,9,Brimstone,0.91, 13.3  /  14.6  /  6.8 ,49.6%,4.4%,197,0.1%,"232,235"
9,10,Phoenix,0.99, 14.7  /  14.9  /  4.6 ,48.8%,4.2%,215,0.1%,"226,133"
10,11,Viper,0.89, 13  /  14.5  /  5.1 ,48.7%,3.7%,189,0.1%,"197,051"
11,12,Fade,0.85, 12.6  /  14.8  /  5.9 ,48.6%,3.7%,184,0.1%,"195,942"
12,13,Cypher,0.94, 13.3  /  14.2  /  5 ,49.0%,3.6%,189,0.1%,"193,134"
13,14,Sova,0.88, 12.9  /  14.6  /  5.1 ,48.0%,3.6%,189,0.1%,"189,438"
14,15,Neon,0.91, 14.2  /  15.6  /  4.2 ,47.4%,3.4%,207,0.1%,"178,858"
15,16,Yoru,0.92, 13.8  /  15.1  /  4.4 ,46.6%,3.3%,200,0.1%,"176,943"
16,17,KAY/O,0.83, 12.5  /  15.1  /  7.7 ,46.8%,2.9%,187,0.1%,"152,922"
17,18,Chamber,0.97, 14.1  /  14.6  /  3.5 ,47.5%,2.1%,201,0.1%,"113,302"
18,19,Breach,0.89, 13.4  /  15.1  /  5.6 ,48.7%,1.7%,195,0.1%,"92,089"
19,20,Harbor,0.84, 12.5  /  14.9  /  5.3 ,46.1%,1.0%,181,0.1%,"55,573"
20,21,Astra,0.96, 13.7  /  14.3  /  5.3 ,48.8%,0.9%,196,0.1%,"48,167"
