,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.09, 17.4  /  16.1  /  3.6 ,49.2%,12.9%,239,0.1%,"10,065",Duelist
1,2,Raze,1.08, 17.1  /  15.9  /  4.7 ,51.1%,9.6%,245,0.1%,"7,484",Duelist
2,3,Reyna,1.14, 17.8  /  15.6  /  4.3 ,50.8%,9.6%,244,0.1%,"7,467",Duelist
3,4,Killjoy,1.05, 15.1  /  14.3  /  3.6 ,50.1%,8.6%,206,0.2%,"6,681",Sentinel
4,5,Omen,0.98, 14.9  /  15.1  /  7.4 ,50.1%,8.6%,203,0.1%,"6,677",Controller
5,6,Breach,0.95, 14.6  /  15.3  /  7.5 ,52.0%,8.3%,200,0.1%,"6,475",Initiator
6,7,Skye,0.96, 14.5  /  15  /  7.9 ,47.6%,5.2%,200,0.1%,"4,052",Initiator
7,8,Chamber,1.13, 16.8  /  14.9  /  2.7 ,50.8%,4.9%,225,0.1%,"3,848",Sentinel
8,9,Sage,0.96, 14.5  /  15.1  /  7 ,49.7%,4.2%,198,0.1%,"3,261",Sentinel
9,10,Fade,0.97, 14.7  /  15.2  /  6.3 ,46.7%,3.9%,201,0.1%,"3,065",Initiator
10,11,Harbor,0.95, 14.3  /  15.1  /  6.1 ,48.8%,3.6%,195,0.1%,"2,796",Controller
11,12,Cypher,1.01, 15  /  14.7  /  4.6 ,47.8%,3.5%,202,0.2%,"2,742",Sentinel
12,13,Brimstone,0.97, 14.5  /  15  /  8.7 ,48.3%,3.3%,204,0.2%,"2,539",Controller
13,14,Astra,1.06, 15.5  /  14.7  /  6.7 ,49.8%,3.2%,209,0.2%,"2,503",Controller
14,15,Phoenix,1.15, 17.8  /  15.4  /  4.8 ,54.0%,2.6%,245,0.1%,"2,041",Duelist
15,16,KAY/O,0.92, 14.4  /  15.7  /  9.6 ,43.3%,2.6%,205,0.1%,"2,006",Initiator
16,17,Sova,0.96, 14.3  /  14.9  /  5.7 ,49.1%,1.6%,202,0.1%,"1,282",Initiator
17,18,Neon,0.96, 16.1  /  16.8  /  4.4 ,44.8%,1.5%,224,0.1%,"1,190",Duelist
18,19,Viper,1.03, 15.1  /  14.7  /  5.5 ,47.0%,1.3%,211,0.2%,"1,018",Controller
19,20,Yoru,0.98, 15.4  /  15.6  /  4.3 ,46.1%,1.0%,213,0.1%,791,Duelist
