,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.08, 17.4  /  16.2  /  3.6 ,48.9%,15.1%,237,0.1%,"221,523",Duelist
1,2,Omen,0.98, 14.9  /  15.2  /  8.3 ,49.1%,11.7%,203,0.1%,"170,917",Controller
2,3,Killjoy,1.05, 15.2  /  14.5  /  3.5 ,50.3%,10.6%,206,0.1%,"155,926",Sentinel
3,4,Raze,1.05, 16.9  /  16.1  /  4.7 ,49.8%,9.9%,241,0.1%,"144,893",Duelist
4,5,Reyna,1.12, 17.7  /  15.8  /  4.3 ,49.9%,7.8%,240,0.1%,"114,747",Duelist
5,6,Skye,0.96, 14.5  /  15.1  /  8.7 ,49.9%,6.9%,198,0.1%,"101,036",Initiator
6,7,Breach,0.93, 14.3  /  15.4  /  7.8 ,48.3%,6.5%,196,0.1%,"94,949",Initiator
7,8,Gekko,0.96, 14.4  /  15.1  /  4.9 ,49.5%,6.1%,193,0.1%,"89,135",Initiator
8,9,Chamber,1.1, 16.6  /  15.1  /  2.6 ,48.0%,5.9%,220,0.1%,"86,772",Sentinel
9,10,Harbor,0.94, 14.4  /  15.3  /  6.8 ,46.1%,2.5%,194,0.1%,"36,958",Controller
10,11,Astra,1.04, 15.3  /  14.7  /  7.2 ,50.0%,2.4%,205,0.1%,"35,764",Controller
11,12,Cypher,1.01, 15  /  14.8  /  4.6 ,48.2%,2.3%,201,0.1%,"33,476",Sentinel
12,13,Sage,0.96, 14.5  /  15  /  7 ,50.7%,2.2%,198,0.1%,"31,739",Sentinel
13,14,Brimstone,0.99, 14.7  /  14.9  /  9.8 ,51.7%,2.1%,206,0.1%,"31,042",Controller
14,15,Fade,0.97, 14.7  /  15.2  /  6.8 ,48.6%,1.6%,200,0.1%,"24,094",Initiator
15,16,Phoenix,1.09, 17.2  /  15.7  /  4.8 ,49.2%,1.5%,236,0.1%,"21,298",Duelist
16,17,Viper,1.05, 15.6  /  14.8  /  6.1 ,50.2%,1.2%,213,0.1%,"16,943",Controller
17,18,Neon,0.97, 16.3  /  16.8  /  4.3 ,47.5%,1.1%,225,0.1%,"16,076",Duelist
18,19,KAY/O,0.93, 14.5  /  15.6  /  10.1 ,44.9%,1.0%,204,0.1%,"14,780",Initiator
19,20,Yoru,1.01, 16.1  /  16  /  4.6 ,47.0%,0.9%,220,0.1%,"12,499",Duelist
20,21,Sova,1.01, 15  /  14.9  /  6 ,48.0%,0.8%,208,0.1%,"12,123",Initiator
