,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.18, 17.7  /  15  /  4.6 ,50.9%,12.0%,251,0.2%,"483,023",Duelist
1,2,Sage,0.89, 12.9  /  14.5  /  6.8 ,50.2%,8.9%,185,0.1%,"356,904",Sentinel
2,3,Brimstone,0.98, 14.1  /  14.4  /  7.8 ,51.2%,7.8%,204,0.1%,"316,077",Controller
3,4,Jett,1.1, 16.9  /  15.3  /  4 ,50.0%,7.4%,240,0.2%,"299,728",Duelist
4,5,Raze,1.04, 15.9  /  15.3  /  4.9 ,49.9%,6.4%,234,0.2%,"257,956",Duelist
5,6,Omen,0.96, 14.3  /  14.9  /  6 ,47.7%,6.1%,203,0.1%,"246,740",Controller
6,7,Killjoy,0.98, 13.8  /  14  /  4.1 ,50.9%,5.7%,198,0.1%,"228,878",Sentinel
7,8,Breach,0.94, 14.1  /  15.1  /  6.1 ,49.3%,5.3%,201,0.1%,"213,598",Initiator
8,9,Skye,0.91, 13.4  /  14.7  /  7.3 ,49.3%,5.2%,192,0.1%,"211,014",Initiator
9,10,Deadlock,0.97, 14.4  /  14.8  /  4 ,49.1%,5.2%,206,0.1%,"209,186",Sentinel
10,11,Gekko,0.92, 13.5  /  14.8  /  4.8 ,49.8%,3.5%,191,0.1%,"140,775",Initiator
11,12,Phoenix,1.1, 16.3  /  14.8  /  4.6 ,50.5%,3.4%,234,0.2%,"138,016",Duelist
12,13,Cypher,0.98, 14.1  /  14.3  /  4.9 ,49.5%,3.2%,197,0.1%,"127,727",Sentinel
13,14,Viper,0.96, 13.9  /  14.5  /  5.4 ,49.3%,3.1%,199,0.1%,"124,165",Controller
14,15,Neon,1.02, 15.9  /  15.7  /  4.3 ,49.3%,3.0%,229,0.2%,"120,992",Duelist
15,16,Chamber,1.07, 15.6  /  14.6  /  3.3 ,48.9%,3.0%,217,0.2%,"119,301",Sentinel
16,17,Fade,0.92, 13.5  /  14.8  /  6.2 ,49.2%,2.6%,193,0.1%,"106,147",Initiator
17,18,KAY/O,0.89, 13.5  /  15.1  /  8.2 ,46.7%,2.2%,199,0.1%,"90,187",Initiator
18,19,Sova,0.94, 13.8  /  14.6  /  5.3 ,48.4%,2.2%,200,0.1%,"89,051",Initiator
19,20,Yoru,0.99, 15  /  15.2  /  4.3 ,46.8%,2.0%,214,0.1%,"79,146",Duelist
20,21,Astra,1.01, 14.6  /  14.4  /  5.6 ,48.5%,1.0%,205,0.1%,"38,519",Controller
21,22,Harbor,0.89, 13.3  /  14.9  /  5.6 ,46.3%,0.9%,190,0.1%,"35,297",Controller
