,Rank,Agent,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
0,1,Chamber,1.13, 17  /  15.1  /  2.9 ,50.5%,17.9%,227,0.2%,"444,567"
1,2,Jett,1.06, 17.2  /  16.2  /  3.5 ,50.7%,14.1%,235,0.2%,"350,727"
2,3,Reyna,1.1, 17.4  /  15.8  /  3.6 ,50.8%,8.3%,238,0.2%,"204,867"
3,4,Viper,1, 14.9  /  14.8  /  5.5 ,48.7%,7.1%,203,0.1%,"175,746"
4,5,Sova,0.97, 14.3  /  14.7  /  5.7 ,50.5%,6.7%,199,0.1%,"165,699"
5,6,Raze,1.03, 16.7  /  16.2  /  4.8 ,49.6%,5.7%,237,0.2%,"140,811"
6,7,Sage,0.94, 14.2  /  15  /  6.6 ,49.1%,5.5%,196,0.1%,"135,558"
7,8,Omen,0.97, 14.7  /  15.2  /  6.4 ,48.0%,5.3%,200,0.1%,"130,866"
8,9,Brimstone,0.98, 14.7  /  15.1  /  7.7 ,50.6%,5.3%,204,0.1%,"130,662"
9,10,Fade,0.95, 14.5  /  15.3  /  7 ,48.4%,4.9%,199,0.1%,"121,839"
10,11,Skye,0.96, 14.5  /  15.2  /  5.6 ,50.8%,3.9%,199,0.1%,"97,512"
11,12,KAY/O,0.91, 14.3  /  15.6  /  8.1 ,45.6%,3.6%,202,0.1%,"88,944"
12,13,Phoenix,1.08, 17.3  /  16  /  3.9 ,50.3%,3.1%,237,0.2%,"76,194"
13,14,Breach,0.94, 14.2  /  15.2  /  5.9 ,50.0%,2.4%,195,0.1%,"58,854"
14,15,Neon,0.96, 16  /  16.8  /  3.8 ,46.6%,2.1%,223,0.2%,"52,479"
15,16,Yoru,0.98, 15.7  /  16  /  3.3 ,42.3%,1.1%,214,0.2%,"28,458"
16,17,Astra,1.02, 15.1  /  14.9  /  6.2 ,45.0%,1.1%,203,0.1%,"27,642"
17,18,Killjoy,1.03, 14.9  /  14.5  /  3.6 ,48.5%,1.0%,207,0.1%,"23,970"
18,19,Cypher,0.98, 15  /  15.3  /  4.4 ,47.5%,1.0%,201,0.1%,"23,919"
