,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.15, 17.4  /  15.1  /  4.7 ,50.7%,11.7%,249,0.1%,"26,490"
1,2,Sage,0.89, 13  /  14.5  /  6.9 ,50.5%,11.6%,187,0.1%,"26,278"
2,3,Omen,0.98, 14.4  /  14.8  /  5.7 ,49.7%,7.0%,206,0.1%,"15,962"
3,4,Raze,1.03, 15.8  /  15.3  /  5.3 ,50.7%,6.8%,238,0.1%,"15,528"
4,5,Killjoy,0.97, 13.6  /  14  /  4.2 ,49.8%,6.7%,198,0.2%,"15,262"
5,6,Jett,1.08, 16.4  /  15.2  /  4 ,51.3%,6.4%,236,0.1%,"14,655"
6,7,Brimstone,0.96, 14.1  /  14.7  /  7.2 ,50.9%,4.8%,206,0.1%,"10,917"
7,8,Skye,0.91, 13.4  /  14.7  /  7.7 ,48.7%,4.7%,195,0.1%,"10,624"
8,9,Gekko,0.95, 13.8  /  14.6  /  4.9 ,51.0%,4.7%,196,0.1%,"10,584"
9,10,Fade,0.9, 13.6  /  15  /  6.2 ,48.2%,4.1%,196,0.1%,"9,210"
10,11,Phoenix,1.08, 16.1  /  14.9  /  4.7 ,50.4%,4.0%,232,0.1%,"9,203"
11,12,KAY/O,0.89, 13.5  /  15.1  /  8.6 ,49.9%,3.5%,199,0.1%,"7,953"
12,13,Viper,0.96, 14  /  14.6  /  5.4 ,47.7%,3.3%,202,0.1%,"7,416"
13,14,Sova,0.95, 13.8  /  14.5  /  5.2 ,48.7%,3.3%,201,0.1%,"7,403"
14,15,Neon,0.99, 15.5  /  15.7  /  4.4 ,47.4%,3.2%,226,0.1%,"7,193"
15,16,Breach,0.93, 14.1  /  15.2  /  6 ,48.8%,3.1%,203,0.1%,"6,951"
16,17,Cypher,0.98, 14  /  14.3  /  4.9 ,49.8%,3.0%,198,0.2%,"6,840"
17,18,Chamber,1.06, 15.3  /  14.5  /  3.4 ,50.2%,2.6%,215,0.1%,"5,889"
18,19,Yoru,0.96, 14.7  /  15.4  /  4.4 ,45.8%,2.6%,210,0.1%,"5,870"
19,20,Harbor,0.91, 13.6  /  15  /  5.6 ,48.3%,1.9%,194,0.1%,"4,377"
20,21,Astra,1.01, 14.5  /  14.4  /  5.3 ,48.7%,1.2%,204,0.1%,"2,663"
