,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.98, 14.9  /  15.2  /  7.7 ,51.3%,12.4%,205,0.1%,"8,193",Sentinel
1,2,Raze,1.05, 17.2  /  16.4  /  5 ,51.9%,12.3%,248,0.1%,"8,165",Duelist
2,3,Jett,1.08, 17.5  /  16.3  /  3.7 ,48.9%,11.4%,241,0.1%,"7,524",Duelist
3,4,Omen,1.01, 15.4  /  15.3  /  8.2 ,47.8%,10.3%,209,0.1%,"6,838",Controller
4,5,Reyna,1.14, 17.8  /  15.7  /  4.4 ,51.6%,7.5%,246,0.1%,"4,980",Duelist
5,6,Gekko,0.95, 14.6  /  15.4  /  5.3 ,49.0%,7.0%,196,0.1%,"4,621",Initiator
6,7,Killjoy,1.05, 15.4  /  14.7  /  3.7 ,49.1%,6.2%,211,0.2%,"4,122",Sentinel
7,8,Cypher,1.03, 15.1  /  14.7  /  4.6 ,48.6%,6.0%,204,0.2%,"3,986",Sentinel
8,9,Skye,0.97, 14.8  /  15.2  /  8 ,49.8%,5.8%,202,0.1%,"3,840",Initiator
9,10,Astra,1.05, 15.5  /  14.8  /  7.1 ,48.2%,4.7%,210,0.2%,"3,095",Controller
10,11,Brimstone,1.0, 15  /  15  /  9.9 ,50.3%,3.5%,212,0.1%,"2,325",Controller
11,12,Breach,0.96, 14.7  /  15.3  /  7.6 ,47.8%,2.6%,202,0.1%,"1,703",Initiator
12,13,KAY/O,0.93, 14.6  /  15.7  /  9.3 ,43.6%,2.4%,206,0.1%,"1,613",Initiator
13,14,Fade,0.99, 15  /  15.1  /  6.4 ,50.8%,2.1%,206,0.1%,"1,402",Initiator
14,15,Phoenix,1.11, 17.9  /  16  /  5 ,48.0%,1.3%,243,0.1%,844,Duelist
15,16,Chamber,1.08, 16.3  /  15.1  /  2.8 ,44.9%,1.2%,221,0.1%,792,Sentinel
16,17,Viper,1.03, 15.1  /  14.6  /  6 ,49.8%,0.8%,212,0.1%,548,Controller
17,18,Yoru,1.02, 16.1  /  15.8  /  4.4 ,46.2%,0.7%,222,0.1%,463,Duelist
18,19,Sova,0.99, 15.2  /  15.3  /  5.7 ,47.9%,0.6%,209,0.1%,422,Initiator
19,20,Neon,0.96, 16.3  /  17  /  4.1 ,48.5%,0.6%,224,0.1%,367,Duelist
20,21,Harbor,0.93, 14  /  15  /  6.7 ,45.2%,0.4%,194,0.1%,272,Controller
