,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.17, 18  /  15.4  /  4.5 ,50.8%,11.2%,251,0.1%,"28,046",Duelist
1,2,Jett,1.11, 17.4  /  15.7  /  3.8 ,49.3%,10.2%,242,0.1%,"25,404",Duelist
2,3,Brimstone,0.98, 14.5  /  14.7  /  8.3 ,50.7%,9.5%,205,0.1%,"23,727",Controller
3,4,Breach,0.95, 14.5  /  15.3  /  6.6 ,48.5%,9.1%,202,0.1%,"22,658",Initiator
4,5,Sage,0.91, 13.4  /  14.8  /  7 ,50.6%,8.3%,187,0.1%,"20,683",Sentinel
5,6,Killjoy,1.01, 14.3  /  14.2  /  4 ,50.9%,7.6%,201,0.2%,"19,013",Sentinel
6,7,Raze,1.06, 16.6  /  15.7  /  4.7 ,48.9%,6.7%,239,0.1%,"16,739",Duelist
7,8,Fade,0.96, 14.2  /  14.9  /  6.2 ,49.9%,4.2%,199,0.1%,"10,548",Initiator
8,9,Cypher,1.0, 14.5  /  14.6  /  4.9 ,48.9%,4.2%,200,0.1%,"10,514",Sentinel
9,10,Viper,0.97, 14.3  /  14.8  /  5.6 ,48.1%,4.2%,200,0.2%,"10,419",Controller
10,11,Omen,0.95, 14.5  /  15.2  /  6.5 ,46.3%,3.7%,202,0.1%,"9,139",Controller
11,12,Skye,0.92, 14  /  15.1  /  7.3 ,48.9%,3.5%,196,0.1%,"8,751",Initiator
12,13,Neon,1.01, 16.3  /  16.1  /  4.3 ,48.4%,3.3%,230,0.1%,"8,286",Duelist
13,14,KAY/O,0.93, 14.3  /  15.5  /  8.8 ,46.0%,3.3%,206,0.1%,"8,219",Initiator
14,15,Chamber,1.06, 16  /  15  /  3.1 ,47.3%,2.9%,218,0.1%,"7,313",Sentinel
15,16,Phoenix,1.1, 16.8  /  15.3  /  4.5 ,49.6%,2.9%,236,0.1%,"7,144",Duelist
16,17,Sova,0.96, 14.3  /  14.9  /  5.3 ,48.1%,1.9%,203,0.1%,"4,846",Initiator
17,18,Astra,1.02, 15  /  14.6  /  6.3 ,47.5%,1.3%,206,0.1%,"3,156",Controller
18,19,Yoru,1.0, 15.5  /  15.5  /  4.3 ,43.0%,1.2%,216,0.1%,"3,085",Duelist
19,20,Harbor,0.9, 13.7  /  15.3  /  5.7 ,46.7%,1.0%,191,0.1%,"2,432",Controller
