,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.1, 17.9  /  16.3  /  3.8 ,50.2%,15.3%,247,0.1%,"21,240",Duelist
1,2,Viper,1.02, 15.2  /  14.9  /  5.8 ,49.6%,13.9%,209,0.1%,"19,254",Controller
2,3,Sova,1.0, 14.8  /  14.9  /  5.5 ,49.8%,12.3%,204,0.2%,"16,994",Initiator
3,4,Sage,0.93, 14  /  14.9  /  7.2 ,50.5%,11.8%,192,0.1%,"16,328",Sentinel
4,5,Reyna,1.14, 18.2  /  16  /  4.2 ,50.7%,11.3%,250,0.1%,"15,645",Duelist
5,6,Killjoy,1.04, 14.9  /  14.3  /  3.6 ,50.9%,6.9%,205,0.2%,"9,503",Sentinel
6,7,Raze,1.03, 16.9  /  16.4  /  4.6 ,49.0%,5.6%,239,0.1%,"7,807",Duelist
7,8,KAY/O,0.93, 14.6  /  15.7  /  9.1 ,45.2%,3.5%,207,0.1%,"4,855",Initiator
8,9,Omen,0.97, 15.3  /  15.7  /  6.1 ,46.9%,3.0%,210,0.1%,"4,204",Controller
9,10,Chamber,1.08, 16.5  /  15.2  /  2.9 ,47.7%,2.9%,221,0.1%,"4,082",Sentinel
10,11,Skye,0.96, 14.7  /  15.4  /  7.5 ,48.2%,2.5%,204,0.1%,"3,457",Initiator
11,12,Fade,0.95, 14.4  /  15.2  /  6.3 ,48.3%,2.2%,199,0.1%,"3,001",Initiator
12,13,Harbor,0.9, 14  /  15.5  /  5.9 ,44.9%,1.8%,192,0.1%,"2,470",Controller
13,14,Phoenix,1.09, 17  /  15.6  /  4.3 ,49.7%,1.6%,238,0.1%,"2,198",Duelist
14,15,Brimstone,0.96, 14.8  /  15.3  /  7.6 ,48.9%,1.3%,206,0.1%,"1,744",Controller
15,16,Cypher,0.97, 14.6  /  15  /  4.4 ,47.8%,1.2%,199,0.1%,"1,671",Sentinel
16,17,Neon,0.98, 16.4  /  16.8  /  4.1 ,47.2%,1.1%,228,0.1%,"1,510",Duelist
17,18,Yoru,1.01, 16  /  15.8  /  4.1 ,47.5%,0.9%,220,0.1%,"1,249",Duelist
18,19,Breach,0.95, 15.2  /  15.9  /  6.5 ,46.5%,0.6%,208,0.1%,778,Initiator
19,20,Astra,1.02, 15.3  /  15  /  5.5 ,49.7%,0.4%,211,0.1%,575,Controller
