,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.09, 17.9  /  16.4  /  3.9 ,49.3%,14.8%,247,0.1%,"18,796",Duelist
1,2,Viper,1.02, 15.2  /  14.9  /  5.8 ,50.4%,13.9%,208,0.2%,"17,718",Controller
2,3,Sage,0.93, 14.1  /  15.1  /  7.3 ,49.7%,11.3%,193,0.1%,"14,365",Sentinel
3,4,Reyna,1.13, 18.1  /  16  /  4.3 ,51.5%,10.9%,249,0.1%,"13,836",Duelist
4,5,Sova,0.99, 14.7  /  14.9  /  5.5 ,49.5%,10.6%,204,0.2%,"13,477",Initiator
5,6,Gekko,0.96, 14.6  /  15.2  /  4.8 ,50.4%,6.7%,196,0.1%,"8,483",Initiator
6,7,Killjoy,1.03, 14.9  /  14.5  /  3.6 ,49.9%,6.5%,205,0.2%,"8,248",Sentinel
7,8,Raze,1.03, 16.9  /  16.4  /  4.8 ,49.3%,5.4%,240,0.1%,"6,857",Duelist
8,9,KAY/O,0.92, 14.6  /  15.8  /  9.2 ,45.7%,3.0%,206,0.1%,"3,844",Initiator
9,10,Omen,0.97, 15.3  /  15.7  /  6.3 ,47.1%,2.9%,210,0.1%,"3,729",Controller
10,11,Chamber,1.09, 16.4  /  15.1  /  2.8 ,48.4%,2.7%,221,0.1%,"3,374",Sentinel
11,12,Fade,0.96, 14.8  /  15.4  /  6.3 ,47.9%,1.8%,204,0.1%,"2,346",Initiator
12,13,Skye,0.95, 14.8  /  15.6  /  7.4 ,47.8%,1.8%,204,0.1%,"2,320",Initiator
13,14,Harbor,0.91, 14.2  /  15.6  /  6 ,43.6%,1.6%,192,0.1%,"2,032",Controller
14,15,Phoenix,1.06, 16.9  /  15.9  /  4.3 ,49.4%,1.4%,233,0.1%,"1,724",Duelist
15,16,Brimstone,0.97, 14.8  /  15.2  /  7.6 ,49.6%,1.2%,206,0.1%,"1,540",Controller
16,17,Cypher,0.98, 14.8  /  15.1  /  4.4 ,43.4%,1.1%,200,0.1%,"1,400",Sentinel
17,18,Neon,0.99, 16.6  /  16.8  /  4.1 ,47.1%,0.9%,230,0.1%,"1,103",Duelist
18,19,Yoru,1.01, 16.5  /  16.3  /  4.2 ,44.8%,0.8%,225,0.1%,"1,032",Duelist
19,20,Breach,0.93, 14.5  /  15.6  /  6.1 ,43.6%,0.5%,202,0.1%,590,Initiator
20,21,Astra,1.01, 15.5  /  15.4  /  5.6 ,46.4%,0.3%,206,0.1%,425,Controller
