,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.15, 18  /  15.6  /  4.6 ,50.7%,11.7%,250,0.1%,"33,887",Duelist
1,2,Jett,1.1, 17.5  /  15.9  /  3.8 ,49.8%,11.6%,243,0.1%,"33,771",Duelist
2,3,Killjoy,1.01, 14.3  /  14.2  /  4 ,50.2%,10.4%,201,0.2%,"30,205",Sentinel
3,4,Omen,0.99, 14.9  /  15.1  /  7.6 ,48.6%,9.1%,208,0.1%,"26,547",Controller
4,5,Sage,0.93, 13.7  /  14.8  /  7.1 ,49.7%,8.6%,192,0.1%,"24,991",Sentinel
5,6,Sova,1.03, 14.9  /  14.5  /  5.9 ,50.9%,8.0%,210,0.2%,"23,242",Initiator
6,7,Raze,1.04, 16.5  /  15.9  /  5 ,49.1%,6.1%,240,0.1%,"17,740",Duelist
7,8,Brimstone,0.98, 14.6  /  14.9  /  9 ,51.8%,6.0%,208,0.1%,"17,516",Controller
8,9,KAY/O,0.92, 14.2  /  15.5  /  8.5 ,45.9%,4.1%,203,0.1%,"11,918",Initiator
9,10,Phoenix,1.13, 17.5  /  15.4  /  4.9 ,52.5%,3.7%,247,0.1%,"10,664",Duelist
10,11,Fade,0.96, 14.3  /  15  /  6.3 ,49.2%,3.5%,200,0.1%,"10,317",Initiator
11,12,Skye,0.94, 14.3  /  15.2  /  7.7 ,48.8%,3.3%,200,0.1%,"9,620",Initiator
12,13,Cypher,1.0, 14.4  /  14.4  /  5.1 ,50.1%,3.0%,199,0.2%,"8,682",Sentinel
13,14,Chamber,1.09, 16.3  /  15  /  3 ,47.1%,2.3%,223,0.1%,"6,545",Sentinel
14,15,Astra,1.06, 15.3  /  14.5  /  7 ,51.2%,1.9%,213,0.1%,"5,509",Controller
15,16,Viper,0.99, 14.4  /  14.4  /  5.5 ,49.7%,1.8%,203,0.2%,"5,311",Controller
16,17,Breach,0.93, 14.5  /  15.6  /  6.6 ,47.7%,1.7%,204,0.1%,"5,044",Initiator
17,18,Neon,0.97, 16  /  16.5  /  4.2 ,47.7%,1.4%,225,0.1%,"4,089",Duelist
18,19,Yoru,1.01, 15.8  /  15.6  /  4.4 ,47.0%,1.2%,219,0.1%,"3,481",Duelist
19,20,Harbor,0.9, 13.9  /  15.4  /  6 ,44.5%,0.6%,194,0.1%,"1,703",Controller
