,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.13, 17.6  /  15.5  /  4.6 ,50.0%,11.4%,246,0.1%,"1,056,990"
1,2,Jett,1.09, 17.2  /  15.7  /  3.9 ,49.5%,10.5%,240,0.1%,"975,915"
2,3,Killjoy,0.99, 14.1  /  14.2  /  3.9 ,49.8%,10.2%,198,0.1%,"947,969"
3,4,Omen,0.97, 14.7  /  15.1  /  7.3 ,48.6%,9.6%,205,0.1%,"891,398"
4,5,Sage,0.9, 13.3  /  14.7  /  7.1 ,49.6%,9.2%,187,0.1%,"854,047"
5,6,Sova,1.01, 14.6  /  14.5  /  5.8 ,50.3%,6.9%,207,0.1%,"643,794"
6,7,Raze,1.03, 16.2  /  15.7  /  5.1 ,49.4%,6.1%,237,0.1%,"564,760"
7,8,Brimstone,0.96, 14.2  /  14.8  /  8.6 ,50.8%,5.8%,205,0.1%,"535,078"
8,9,Skye,0.91, 13.7  /  15  /  7.7 ,48.2%,3.9%,195,0.1%,"359,883"
9,10,Phoenix,1.1, 16.9  /  15.3  /  4.7 ,50.6%,3.5%,239,0.1%,"327,919"
10,11,KAY/O,0.89, 13.8  /  15.4  /  8.3 ,46.0%,3.5%,198,0.1%,"326,304"
11,12,Gekko,0.91, 13.7  /  15.1  /  4.7 ,48.0%,3.0%,190,0.1%,"279,726"
12,13,Cypher,0.98, 14.2  /  14.4  /  5 ,48.7%,2.8%,196,0.1%,"259,064"
13,14,Chamber,1.07, 15.9  /  14.9  /  3.1 ,48.8%,2.6%,219,0.1%,"240,932"
14,15,Fade,0.93, 13.9  /  15  /  6.3 ,48.6%,2.5%,196,0.1%,"231,644"
15,16,Viper,0.96, 14.2  /  14.7  /  5.6 ,48.1%,2.0%,200,0.1%,"185,156"
16,17,Breach,0.92, 14.2  /  15.4  /  6.3 ,48.2%,1.7%,200,0.1%,"157,047"
17,18,Neon,0.97, 15.6  /  16.2  /  4.1 ,46.7%,1.5%,221,0.1%,"141,229"
18,19,Yoru,0.98, 15.2  /  15.5  /  4.5 ,45.7%,1.4%,214,0.1%,"129,778"
19,20,Astra,1.02, 15  /  14.6  /  6.7 ,49.4%,1.4%,207,0.1%,"125,634"
20,21,Harbor,0.9, 13.7  /  15.3  /  5.9 ,45.8%,0.6%,192,0.1%,"56,185"
