,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.86, 12.5  /  14.6  /  6.6 ,49.8%,13.8%,180,0.1%,"38,462",Sentinel
1,2,Reyna,1.13, 16.9  /  15  /  4.4 ,50.6%,11.7%,243,0.1%,"32,430",Duelist
2,3,Jett,1.06, 16.1  /  15.2  /  4 ,50.3%,7.6%,233,0.1%,"21,238",Duelist
3,4,Viper,0.94, 13.6  /  14.4  /  5.2 ,50.1%,7.2%,196,0.1%,"19,916",Controller
4,5,Raze,0.98, 15  /  15.2  /  4.5 ,48.2%,6.7%,223,0.1%,"18,541",Duelist
5,6,Sova,0.92, 13.4  /  14.5  /  5.1 ,49.7%,6.6%,195,0.1%,"18,310",Initiator
6,7,Killjoy,0.95, 13.2  /  14  /  4.1 ,51.1%,6.4%,194,0.2%,"17,795",Sentinel
7,8,Omen,0.95, 14.4  /  15  /  4.9 ,48.9%,6.3%,206,0.1%,"17,412",Controller
8,9,Fade,0.89, 13.3  /  14.9  /  6.2 ,49.2%,4.1%,193,0.1%,"11,411",Initiator
9,10,KAY/O,0.88, 13.3  /  15.1  /  8 ,47.0%,4.0%,196,0.1%,"11,081",Initiator
10,11,Skye,0.89, 13  /  14.7  /  7 ,49.3%,3.7%,190,0.1%,"10,263",Initiator
11,12,Phoenix,1.02, 15.4  /  15  /  4.3 ,48.0%,3.7%,223,0.1%,"10,205",Duelist
12,13,Neon,0.97, 15.3  /  15.7  /  4.2 ,48.6%,3.4%,222,0.1%,"9,597",Duelist
13,14,Brimstone,0.92, 13.5  /  14.7  /  6.1 ,48.6%,3.4%,198,0.1%,"9,495",Controller
14,15,Yoru,0.94, 14.4  /  15.3  /  4.1 ,47.0%,3.1%,207,0.1%,"8,607",Duelist
15,16,Chamber,1.04, 15  /  14.5  /  3.4 ,48.4%,2.8%,212,0.1%,"7,686",Sentinel
16,17,Cypher,0.94, 13.4  /  14.3  /  4.7 ,48.7%,2.2%,190,0.2%,"6,102",Sentinel
17,18,Breach,0.9, 13.9  /  15.3  /  5.5 ,47.8%,1.6%,198,0.1%,"4,389",Initiator
18,19,Harbor,0.88, 13.2  /  15  /  5.4 ,47.2%,1.3%,189,0.1%,"3,623",Controller
19,20,Astra,0.98, 14.3  /  14.6  /  4.8 ,46.5%,0.6%,200,0.1%,"1,768",Controller
