,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.08, 17.6  /  16.3  /  3.6 ,48.8%,14.5%,240,0.1%,"99,764"
1,2,Raze,1.04, 17.1  /  16.4  /  5 ,49.3%,13.2%,245,0.1%,"91,145"
2,3,Skye,0.97, 14.6  /  15.2  /  8.3 ,49.4%,12.1%,200,0.1%,"83,557"
3,4,Omen,1.01, 15.2  /  15.1  /  8.8 ,49.5%,12.0%,206,0.1%,"82,888"
4,5,Sage,0.99, 14.9  /  15.1  /  7.6 ,51.1%,11.6%,205,0.1%,"79,690"
5,6,Reyna,1.12, 17.8  /  15.8  /  4.3 ,50.2%,6.4%,243,0.1%,"44,321"
6,7,Cypher,1.03, 15.2  /  14.8  /  4.5 ,48.8%,6.1%,203,0.1%,"42,028"
7,8,Killjoy,1.04, 15.2  /  14.6  /  3.5 ,49.4%,5.9%,207,0.1%,"40,649"
8,9,Astra,1.05, 15.5  /  14.8  /  7.6 ,49.3%,4.8%,209,0.1%,"32,772"
9,10,Chamber,1.09, 16.7  /  15.3  /  2.7 ,48.9%,2.3%,221,0.1%,"15,948"
10,11,Brimstone,1, 15.1  /  15.1  /  10.4 ,51.3%,2.0%,213,0.1%,"14,001"
11,12,Breach,0.95, 14.5  /  15.2  /  8 ,49.3%,1.8%,199,0.1%,"12,102"
12,13,Gekko,0.97, 14.8  /  15.3  /  4.8 ,48.5%,1.4%,199,0.1%,"9,590"
13,14,KAY/O,0.93, 14.7  /  15.7  /  9.4 ,43.7%,1.2%,207,0.1%,"8,198"
14,15,Viper,1.06, 16  /  15.1  /  5.8 ,47.2%,1.0%,220,0.1%,"7,222"
15,16,Phoenix,1.08, 17  /  15.7  /  4.9 ,49.8%,1.0%,236,0.1%,"7,020"
16,17,Fade,0.98, 14.9  /  15.2  /  6.3 ,47.3%,0.9%,204,0.1%,"6,383"
17,18,Yoru,1.04, 16.3  /  15.7  /  4.6 ,50.5%,0.8%,224,0.1%,"5,327"
18,19,Neon,0.96, 16  /  16.6  /  4.3 ,46.5%,0.4%,221,0.1%,"2,606"
19,20,Sova,1.01, 15.2  /  15  /  5.8 ,46.7%,0.3%,212,0.1%,"2,394"
20,21,Harbor,0.95, 14.7  /  15.4  /  6.9 ,46.1%,0.2%,201,0.1%,"1,048"
