,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.18, 18.2  /  15.5  /  4.6 ,49.7%,12.2%,256,0.1%,"37,273"
1,2,Jett,1.11, 17.4  /  15.6  /  3.9 ,49.0%,10.2%,244,0.1%,"31,223"
2,3,Sage,0.91, 13.4  /  14.7  /  7.1 ,50.1%,10.2%,188,0.1%,"31,170"
3,4,Fade,0.95, 14.3  /  15  /  6.4 ,50.0%,6.7%,201,0.1%,"20,484"
4,5,Viper,1, 14.5  /  14.6  /  5.9 ,50.2%,6.1%,205,0.1%,"18,719"
5,6,Killjoy,0.99, 14  /  14.1  /  4 ,49.9%,5.7%,200,0.2%,"17,482"
6,7,Raze,1.05, 16.5  /  15.7  /  4.8 ,49.5%,5.4%,240,0.1%,"16,430"
7,8,Skye,0.94, 14.2  /  15  /  7.6 ,48.1%,4.5%,200,0.1%,"13,677"
8,9,Brimstone,0.97, 14.4  /  14.8  /  7.9 ,50.8%,4.3%,206,0.1%,"13,124"
9,10,Omen,0.97, 14.6  /  15.1  /  6.3 ,47.8%,4.3%,206,0.1%,"13,061"
10,11,Cypher,1, 14.4  /  14.4  /  5 ,49.7%,4.1%,199,0.2%,"12,652"
11,12,Phoenix,1.14, 17.5  /  15.3  /  4.8 ,51.2%,4.1%,247,0.1%,"12,561"
12,13,KAY/O,0.91, 14  /  15.4  /  8.4 ,45.7%,3.9%,204,0.1%,"11,817"
13,14,Chamber,1.08, 15.9  /  14.7  /  3.2 ,48.5%,3.5%,218,0.1%,"10,730"
14,15,Sova,0.99, 14.4  /  14.6  /  5.6 ,50.1%,3.3%,205,0.1%,"9,962"
15,16,Astra,1.05, 15  /  14.3  /  6.1 ,50.0%,2.8%,207,0.2%,"8,610"
16,17,Harbor,0.9, 13.6  /  15  /  5.9 ,46.7%,2.7%,191,0.1%,"8,321"
17,18,Neon,1.02, 16.3  /  16  /  4.3 ,50.2%,2.3%,231,0.1%,"7,089"
18,19,Breach,0.94, 14.4  /  15.4  /  6.4 ,48.5%,2.0%,204,0.1%,"6,209"
19,20,Yoru,1.02, 15.8  /  15.5  /  4.4 ,47.7%,1.8%,222,0.1%,"5,384"
