,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.1, 17.3  /  15.8  /  3.9 ,49.2%,11.8%,241,0.1%,"892,539"
1,2,Reyna,1.16, 18  /  15.5  /  4.6 ,50.1%,11.2%,250,0.1%,"846,068"
2,3,Sage,0.9, 13.4  /  14.9  /  7.1 ,49.9%,8.1%,187,0.1%,"615,013"
3,4,Viper,1, 14.6  /  14.6  /  6 ,50.0%,6.3%,205,0.1%,"474,404"
4,5,Killjoy,1, 14.2  /  14.2  /  3.9 ,50.0%,6.0%,199,0.1%,"451,953"
5,6,Skye,0.94, 14.1  /  15.1  /  7.9 ,49.1%,5.6%,198,0.1%,"420,387"
6,7,Gekko,0.94, 14  /  15  /  5 ,50.2%,5.3%,193,0.1%,"398,123"
7,8,Raze,1.04, 16.4  /  15.8  /  4.9 ,49.4%,4.9%,238,0.1%,"366,843"
8,9,Fade,0.95, 14.3  /  15.1  /  6.5 ,49.5%,4.4%,199,0.1%,"330,647"
9,10,Chamber,1.09, 16  /  14.7  /  3.1 ,48.3%,4.4%,217,0.1%,"330,138"
10,11,Omen,0.96, 14.6  /  15.2  /  6.5 ,47.4%,4.3%,203,0.1%,"326,078"
11,12,Brimstone,0.96, 14.2  /  14.9  /  8.2 ,50.6%,4.0%,203,0.1%,"299,938"
12,13,Phoenix,1.12, 17.3  /  15.4  /  4.8 ,50.6%,3.8%,243,0.1%,"284,896"
13,14,Cypher,1, 14.4  /  14.4  /  4.9 ,49.4%,3.7%,198,0.1%,"280,067"
14,15,Harbor,0.9, 13.6  /  15.1  /  6.2 ,46.8%,3.4%,189,0.1%,"256,336"
15,16,Astra,1.04, 15  /  14.4  /  6.3 ,50.0%,3.0%,206,0.1%,"227,050"
16,17,KAY/O,0.91, 14.1  /  15.5  /  8.4 ,45.3%,2.7%,202,0.1%,"204,299"
17,18,Sova,0.98, 14.4  /  14.7  /  5.6 ,48.7%,2.6%,204,0.1%,"193,941"
18,19,Neon,0.99, 16.1  /  16.3  /  4.3 ,47.9%,1.7%,227,0.1%,"126,235"
19,20,Breach,0.92, 14.3  /  15.5  /  6.4 ,47.0%,1.5%,201,0.1%,"113,972"
20,21,Yoru,1.01, 15.8  /  15.7  /  4.6 ,46.7%,1.5%,220,0.1%,"111,332"
