,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.1, 17.3  /  15.8  /  3.8 ,49.3%,12.2%,240,0.1%,"931,934"
1,2,Reyna,1.14, 17.8  /  15.6  /  4.5 ,49.9%,11.3%,247,0.1%,"861,148"
2,3,Omen,0.98, 14.8  /  15.1  /  7.2 ,48.8%,11.2%,205,0.1%,"850,936"
3,4,Sage,0.91, 13.6  /  14.9  /  7.1 ,49.8%,9.2%,190,0.1%,"705,172"
4,5,Killjoy,0.99, 14.3  /  14.4  /  3.7 ,49.9%,6.7%,199,0.1%,"514,596"
5,6,Sova,1, 14.6  /  14.6  /  5.6 ,49.7%,6.3%,205,0.1%,"478,326"
6,7,Raze,1.04, 16.5  /  15.8  /  4.7 ,49.4%,5.4%,237,0.1%,"409,705"
7,8,Brimstone,0.96, 14.3  /  14.9  /  8.6 ,50.7%,5.3%,204,0.1%,"404,690"
8,9,Skye,0.94, 14.2  /  15.1  /  7.6 ,48.8%,5.1%,198,0.1%,"388,843"
9,10,Phoenix,1.11, 17.2  /  15.5  /  4.6 ,50.6%,3.7%,241,0.1%,"284,888"
10,11,Chamber,1.07, 15.9  /  14.9  /  3 ,48.0%,3.6%,216,0.1%,"277,553"
11,12,Cypher,1, 14.6  /  14.6  /  4.8 ,49.3%,3.4%,200,0.1%,"260,007"
12,13,Gekko,0.93, 14  /  15.1  /  4.9 ,49.1%,3.2%,193,0.1%,"243,154"
13,14,Breach,0.94, 14.4  /  15.4  /  6.6 ,48.6%,2.8%,201,0.1%,"212,850"
14,15,Fade,0.94, 14.3  /  15.1  /  6.5 ,49.2%,2.4%,199,0.1%,"185,174"
15,16,KAY/O,0.91, 14.1  /  15.6  /  8.8 ,45.4%,2.3%,202,0.1%,"177,360"
16,17,Astra,1.02, 15  /  14.7  /  6.4 ,49.1%,1.6%,205,0.1%,"122,604"
17,18,Neon,0.97, 15.9  /  16.3  /  4.1 ,47.0%,1.3%,224,0.1%,"98,550"
18,19,Yoru,1, 15.6  /  15.7  /  4.5 ,46.7%,1.3%,217,0.1%,"95,944"
19,20,Viper,0.97, 14.3  /  14.8  /  5.7 ,48.1%,1.2%,201,0.1%,"90,104"
20,21,Harbor,0.9, 13.8  /  15.3  /  6 ,45.2%,0.5%,193,0.1%,"35,914"
