,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.2, 18.3  /  15.3  /  4.8 ,51.1%,12.3%,259,0.1%,"34,330",Duelist
1,2,Sage,0.9, 13.2  /  14.7  /  7.1 ,50.0%,10.7%,188,0.1%,"29,784",Sentinel
2,3,Jett,1.13, 17.5  /  15.5  /  4 ,50.1%,8.4%,246,0.1%,"23,405",Duelist
3,4,Killjoy,0.99, 13.9  /  14  /  4.2 ,50.7%,5.9%,201,0.2%,"16,549",Sentinel
4,5,Viper,0.99, 14.4  /  14.5  /  5.9 ,49.7%,5.7%,205,0.1%,"16,001",Controller
5,6,Raze,1.06, 16.6  /  15.6  /  5.1 ,49.9%,5.4%,243,0.1%,"15,158",Duelist
6,7,Fade,0.95, 14.3  /  15  /  6.4 ,49.8%,5.4%,202,0.1%,"15,016",Initiator
7,8,Gekko,0.97, 14.3  /  14.7  /  5.2 ,52.6%,5.0%,199,0.1%,"14,022",Initiator
8,9,Omen,0.98, 14.8  /  15.1  /  6.1 ,48.9%,4.7%,209,0.1%,"13,099",Controller
9,10,Brimstone,0.98, 14.4  /  14.6  /  7.7 ,51.3%,4.6%,208,0.1%,"12,906",Controller
10,11,Skye,0.93, 13.9  /  15  /  7.7 ,47.8%,3.8%,199,0.1%,"10,616",Initiator
11,12,Phoenix,1.15, 17.5  /  15.3  /  4.9 ,51.1%,3.7%,248,0.1%,"10,394",Duelist
12,13,Cypher,1.0, 14.4  /  14.3  /  5.1 ,48.6%,3.7%,200,0.1%,"10,343",Sentinel
13,14,KAY/O,0.92, 14.1  /  15.3  /  8.4 ,46.7%,3.3%,205,0.1%,"9,236",Initiator
14,15,Sova,1.0, 14.5  /  14.6  /  5.6 ,50.3%,3.1%,208,0.1%,"8,578",Initiator
15,16,Chamber,1.1, 16  /  14.6  /  3.3 ,48.7%,3.0%,221,0.1%,"8,492",Sentinel
16,17,Neon,1.03, 16.5  /  16  /  4.4 ,48.7%,2.5%,235,0.1%,"6,996",Duelist
17,18,Harbor,0.89, 13.5  /  15.1  /  5.9 ,46.5%,2.5%,189,0.1%,"6,994",Controller
18,19,Astra,1.06, 15.1  /  14.1  /  6 ,51.3%,2.3%,209,0.2%,"6,398",Controller
19,20,Yoru,1.03, 15.9  /  15.5  /  4.4 ,46.6%,2.0%,226,0.1%,"5,499",Duelist
20,21,Breach,0.95, 14.6  /  15.3  /  6.3 ,47.4%,1.8%,208,0.1%,"5,114",Initiator
