,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.14, 17.3  /  15.2  /  4.7 ,50.4%,12.0%,248,0.1%,"37,151"
1,2,Sage,0.9, 13  /  14.5  /  7 ,50.1%,11.5%,186,0.1%,"35,713"
2,3,Killjoy,1.01, 13.9  /  13.8  /  4.3 ,51.8%,9.6%,202,0.2%,"29,647"
3,4,Jett,1.07, 16.4  /  15.4  /  4 ,49.7%,7.7%,235,0.1%,"23,973"
4,5,Omen,0.98, 14.5  /  14.9  /  6.4 ,49.3%,7.6%,206,0.1%,"23,541"
5,6,Raze,1.03, 15.8  /  15.4  /  5.2 ,49.8%,6.8%,236,0.1%,"20,975"
6,7,Sova,0.98, 14.1  /  14.4  /  5.6 ,49.7%,6.0%,204,0.1%,"18,661"
7,8,Brimstone,0.96, 14.1  /  14.7  /  7.8 ,51.7%,5.3%,206,0.1%,"16,567"
8,9,Fade,0.91, 13.6  /  14.9  /  6.2 ,48.3%,4.3%,196,0.1%,"13,419"
9,10,Phoenix,1.08, 16.2  /  15  /  4.7 ,50.3%,4.0%,234,0.1%,"12,261"
10,11,Skye,0.9, 13.3  /  14.8  /  7.8 ,50.8%,3.8%,193,0.1%,"11,801"
11,12,KAY/O,0.89, 13.4  /  15.1  /  8 ,47.1%,3.7%,197,0.1%,"11,362"
12,13,Viper,0.96, 14  /  14.5  /  5.4 ,49.6%,3.2%,200,0.1%,"9,914"
13,14,Cypher,0.97, 13.8  /  14.2  /  5.2 ,49.1%,3.0%,195,0.2%,"9,276"
14,15,Neon,0.96, 15.1  /  15.7  /  4.3 ,47.8%,2.7%,219,0.1%,"8,511"
15,16,Chamber,1.05, 15.5  /  14.7  /  3.4 ,48.2%,2.4%,217,0.1%,"7,314"
16,17,Yoru,0.98, 14.8  /  15.2  /  4.3 ,47.5%,2.3%,211,0.1%,"7,177"
17,18,Breach,0.91, 13.9  /  15.3  /  6 ,47.0%,2.0%,201,0.1%,"6,096"
18,19,Astra,1.03, 14.8  /  14.4  /  6.2 ,50.9%,1.2%,207,0.1%,"3,785"
19,20,Harbor,0.88, 13.3  /  15.1  /  5.5 ,45.1%,1.0%,191,0.1%,"3,067"
