,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.8, 11.6  /  14.4  /  6 ,49.3%,13.2%,170,0.1%,"559,040"
1,2,Reyna,1.03, 15.3  /  14.8  /  4.4 ,49.2%,11.0%,223,0.1%,"468,045"
2,3,Raze,0.93, 14  /  15  /  4.7 ,49.2%,7.8%,212,0.1%,"332,028"
3,4,Omen,0.89, 13.1  /  14.8  /  4.9 ,48.3%,6.7%,190,0.1%,"284,262"
4,5,Jett,0.95, 14.2  /  15  /  3.8 ,48.1%,6.1%,208,0.1%,"260,395"
5,6,Gekko,0.81, 12  /  14.8  /  4.4 ,48.6%,5.3%,174,0.1%,"224,361"
6,7,Killjoy,0.89, 12.3  /  13.9  /  4 ,50.8%,4.9%,183,0.1%,"207,334"
7,8,Phoenix,0.94, 13.9  /  14.8  /  4.2 ,47.6%,4.9%,204,0.1%,"207,159"
8,9,Brimstone,0.89, 12.8  /  14.5  /  6 ,49.5%,4.7%,189,0.1%,"199,719"
9,10,Skye,0.82, 12  /  14.6  /  6.7 ,49.1%,4.6%,178,0.1%,"197,151"
10,11,Yoru,0.87, 13  /  15  /  4.1 ,45.7%,4.2%,189,0.1%,"177,494"
11,12,Fade,0.81, 12  /  14.8  /  5.7 ,48.2%,4.1%,177,0.1%,"175,215"
12,13,Sova,0.84, 12.2  /  14.6  /  4.8 ,47.7%,4.0%,180,0.1%,"170,224"
13,14,Neon,0.87, 13.4  /  15.4  /  3.9 ,47.0%,3.7%,197,0.1%,"158,953"
14,15,Viper,0.85, 12.4  /  14.5  /  4.7 ,48.4%,3.6%,182,0.1%,"150,921"
15,16,Cypher,0.88, 12.5  /  14.1  /  4.7 ,48.9%,3.2%,179,0.1%,"134,727"
16,17,KAY/O,0.79, 11.9  /  15.1  /  7.1 ,46.3%,2.7%,179,0.1%,"116,642"
17,18,Chamber,0.93, 13.4  /  14.4  /  3.4 ,47.5%,2.2%,192,0.1%,"94,852"
18,19,Breach,0.85, 12.7  /  15  /  5.1 ,48.1%,1.5%,187,0.1%,"62,063"
19,20,Harbor,0.81, 11.9  /  14.8  /  4.9 ,47.0%,1.0%,175,0.1%,"43,920"
20,21,Astra,0.92, 13  /  14.2  /  4.7 ,48.4%,0.6%,188,0.1%,"24,945"
